TotalRevenue,TotalRevenue_missing,TotalRevenue_imputed_median,TotalRevenue_log1p,TotalRevenue_zscore,TotalRevenue_iqr_outlier,CHURN,churn_binary
51.16,0,51.16,3.9543159176183975,-0.9460356615220206,0,No,0
51.17,0,51.17,3.9545076170343014,-0.9459388042229886,0,No,0
51.17,0,51.17,3.9545076170343014,-0.9459388042229886,0,No,0
51.17,0,51.17,3.9545076170343014,-0.9459388042229886,0,No,0
51.33,0,51.33,3.9575698203841165,-0.9443890874384779,0,No,0
51.33,0,51.33,3.9575698203841165,-0.9443890874384779,0,No,0
51.33,0,51.33,3.9575698203841165,-0.9443890874384779,0,No,0
51.33,0,51.33,3.9575698203841165,-0.9443890874384779,0,No,0
51.33,0,51.33,3.9575698203841165,-0.9443890874384779,0,No,0
51.33,0,51.33,3.9575698203841165,-0.9443890874384779,0,No,0
51.5,0,51.5,3.960813169597578,-0.9427425133549354,0,No,0
51.5,0,51.5,3.960813169597578,-0.9427425133549354,0,No,0
51.5,0,51.5,3.960813169597578,-0.9427425133549354,0,Yes,1
51.67,0,51.67,3.964046033495298,-0.9410959392713929,0,No,0
51.67,0,51.67,3.964046033495298,-0.9410959392713929,0,No,0
51.67,0,51.67,3.964046033495298,-0.9410959392713929,0,No,0
51.67,0,51.67,3.964046033495298,-0.9410959392713929,0,No,0
51.67,0,51.67,3.964046033495298,-0.9410959392713929,0,No,0
51.67,0,51.67,3.964046033495298,-0.9410959392713929,0,No,0
51.67,0,51.67,3.964046033495298,-0.9410959392713929,0,No,0
51.67,0,51.67,3.964046033495298,-0.9410959392713929,0,No,0
51.83,0,51.83,3.9670792111762245,-0.9395462224868822,0,No,0
51.83,0,51.83,3.9670792111762245,-0.9395462224868822,0,No,0
51.83,0,51.83,3.9670792111762245,-0.9395462224868822,0,No,0
51.83,0,51.83,3.9670792111762245,-0.9395462224868822,0,No,0
51.83,0,51.83,3.9670792111762245,-0.9395462224868822,0,No,0
51.83,0,51.83,3.9670792111762245,-0.9395462224868822,0,No,0
51.83,0,51.83,3.9670792111762245,-0.9395462224868822,0,No,0
52.0,0,52.0,3.970291913552122,-0.9378996484033397,0,No,0
52.0,0,52.0,3.970291913552122,-0.9378996484033397,0,No,0
52.0,0,52.0,3.970291913552122,-0.9378996484033397,0,No,0
52.0,0,52.0,3.970291913552122,-0.9378996484033397,0,No,0
52.17,0,52.17,3.973494327516247,-0.9362530743197971,0,Yes,1
52.17,0,52.17,3.973494327516247,-0.9362530743197971,0,No,0
52.17,0,52.17,3.973494327516247,-0.9362530743197971,0,No,0
52.17,0,52.17,3.973494327516247,-0.9362530743197971,0,No,0
52.17,0,52.17,3.973494327516247,-0.9362530743197971,0,No,0
52.33,0,52.33,3.9764990246125107,-0.9347033575352865,0,No,0
52.33,0,52.33,3.9764990246125107,-0.9347033575352865,0,No,0
52.33,0,52.33,3.9764990246125107,-0.9347033575352865,0,No,0
52.5,0,52.5,3.979681653901961,-0.933056783451744,0,No,0
52.5,0,52.5,3.979681653901961,-0.933056783451744,0,No,0
52.67,0,52.67,3.9828541861887374,-0.9314102093682014,0,No,0
52.67,0,52.67,3.9828541861887374,-0.9314102093682014,0,Yes,1
