ARPU,ARPU_missing,ARPU_imputed_median,ARPU_log1p,ARPU_zscore,ARPU_iqr_outlier,CHURN,churn_binary
16.78,0,16.78,2.8780742300857587,-0.33575239889092406,0,No,0
12.63,0,12.63,2.612273245708441,-0.5176267335470705,0,No,0
25.25,0,25.25,3.2676659890376327,0.035446544371138415,0,No,0
6.31,0,6.31,1.9892432737616872,-0.794601623914985,0,No,0
16.83,0,16.83,2.8808824318750488,-0.33356114184687424,0,No,0
16.83,0,16.83,2.8808824318750488,-0.33356114184687424,0,No,0
16.89,0,16.89,2.884241897520628,-0.3309316333940142,0,No,0
25.34,0,25.34,3.271088696315135,0.03939080705042833,0,No,0
16.89,0,16.89,2.884241897520628,-0.3309316333940142,0,No,0
16.89,0,16.89,2.884241897520628,-0.3309316333940142,0,No,0
8.45,0,8.45,2.2460147415056513,-0.7008158224296468,0,No,0
16.89,0,16.89,2.884241897520628,-0.3309316333940142,0,No,0
12.67,0,12.67,2.6152036507358583,-0.5158737279118305,0,No,0
12.71,0,12.71,2.6181254935742233,-0.5141207222765906,0,No,0
12.71,0,12.71,2.6181254935742233,-0.5141207222765906,0,No,0
16.94,0,16.94,2.88703285663065,-0.3287403763499642,0,No,0
10.2,0,10.2,2.4159137783010487,-0.6241218258878983,0,No,0
8.5,0,8.5,2.2512917986064953,-0.6986245653855968,0,No,0
17.0,0,17.0,2.8903717578961645,-0.3261108678971043,0,No,0
12.75,0,12.75,2.6210388241125804,-0.5123677166413506,0,No,0
10.2,0,10.2,2.4159137783010487,-0.6241218258878983,0,No,0
10.2,0,10.2,2.4159137783010487,-0.6241218258878983,0,No,0
12.75,0,12.75,2.6210388241125804,-0.5123677166413506,0,No,0
17.0,0,17.0,2.8903717578961645,-0.3261108678971043,0,No,0
26.33,0,26.33,3.3079849999399764,0.08277769652261739,0,No,0
8.53,0,8.53,2.254444717666111,-0.6973098111591669,0,No,0
8.53,0,8.53,2.254444717666111,-0.6973098111591669,0,No,0
17.06,0,17.06,2.8936995479888394,-0.32348135944424444,0,No,0
10.27,0,10.27,2.422144328051685,-0.6210540660262284,0,No,0
10.27,0,10.27,2.422144328051685,-0.6210540660262284,0,No,0
8.56,0,8.56,2.25758772706331,-0.6959950569327369,0,No,0
12.83,0,12.83,2.626840145676667,-0.5088617053708706,0,No,0
17.11,0,17.11,2.896464271895322,-0.32129010240019445,0,No,0
8.56,0,8.56,2.25758772706331,-0.6959950569327369,0,No,0
51.5,0,51.5,3.960813169597578,1.1858564924973654,1,No,0
10.3,0,10.3,2.424802725718295,-0.6197393117997984,0,No,0
10.3,0,10.3,2.424802725718295,-0.6197393117997984,0,Yes,1
