variant,model,train_data,threshold,f1,recall,precision,accuracy,balanced_accuracy,roc_auc,pr_auc,average_precision,mcc,tp,fp,fn,tn
with_billing_zip,LogisticRegression_SMOTE_C1.0,resampled,0.45,0.15384615384615385,0.3211009174311927,0.10115606936416185,0.7717842323651453,0.5620079999069778,0.5799322100905804,0.09712048696182515,0.09712048696182515,0.0755078368863059,35,311,74,1267
with_billing_zip,LogisticRegression_SMOTE_C1.0,resampled,0.47,0.16216216216216217,0.30275229357798167,0.11073825503355705,0.7978660343805573,0.5674090998941873,0.5799322100905804,0.09712048696182515,0.09712048696182515,0.08690725189448215,33,265,76,1313
with_billing_zip,LogisticRegression_SMOTE_C1.0,resampled,0.49,0.1487603305785124,0.24770642201834864,0.1062992125984252,0.8168346176644932,0.5519267217823048,0.5799322100905804,0.09712048696182515,0.09712048696182515,0.07139169550949037,27,227,82,1351
with_billing_zip,LogisticRegression_SMOTE_C1.0,resampled,0.51,0.15757575757575756,0.23853211009174313,0.11764705882352941,0.8352104327208062,0.5574789828025255,0.5799322100905804,0.09712048696182515,0.09712048696182515,0.08376116245791104,26,195,83,1383
with_billing_zip,LogisticRegression_SMOTE_C1.0,resampled,0.53,0.1716171617161716,0.23853211009174313,0.13402061855670103,0.8512151748666271,0.5660341158823734,0.5799322100905804,0.09712048696182515,0.09712048696182515,0.10177341389698927,26,168,83,1410
with_billing_zip,LogisticRegression_SMOTE_C1.0,resampled,0.55,0.14760147601476015,0.1834862385321101,0.12345679012345678,0.8630705394190872,0.5467494564016697,0.5799322100905804,0.09712048696182515,0.09712048696182515,0.07801549713209474,20,142,89,1436
with_billing_zip,LogisticRegression_SMOTE_C1.0,resampled,0.57,0.15254237288135594,0.1651376146788991,0.14173228346456693,0.8814463544754001,0.5480314182393228,0.5799322100905804,0.09712048696182515,0.09712048696182515,0.08950720478792426,18,109,91,1469
with_billing_zip,LogisticRegression_SMOTE_C1.0,resampled,0.59,0.15023474178403756,0.14678899082568808,0.15384615384615385,0.8927089508002372,0.5455110987081546,0.5799322100905804,0.09712048696182515,0.09712048696182515,0.09303726545679095,16,88,93,1490
with_billing_zip,LogisticRegression_SMOTE_C1.0,resampled,0.61,0.14213197969543148,0.12844036697247707,0.1590909090909091,0.8998221695317131,0.5407727817118406,0.5799322100905804,0.09712048696182515,0.09712048696182515,0.09015742893257161,14,74,95,1504
with_billing_zip,LogisticRegression_balanced_C0.1,original,0.05,0.12100840336134454,0.9908256880733946,0.06443914081145585,0.06994665085951393,0.49858141184404836,0.5821007895257032,0.1021883969697395,0.1021883969697395,-0.008666020735855297,108,1568,1,10
with_billing_zip,LogisticRegression_balanced_C0.1,original,0.07,0.1210762331838565,0.9908256880733946,0.06447761194029851,0.07053941908713693,0.4988982686247835,0.5821007895257032,0.1021883969697395,0.1021883969697395,-0.00644576447926058,108,1567,1,11
with_billing_zip,LogisticRegression_balanced_C0.1,original,0.09,0.12121212121212122,0.9908256880733946,0.06455469216975493,0.07172495554238292,0.49953198218625366,0.5821007895257032,0.1021883969697395,0.1021883969697395,-0.002536571679518515,108,1565,1,13
with_billing_zip,LogisticRegression_balanced_C0.1,original,0.11,0.12134831460674157,0.9908256880733946,0.06463195691202872,0.07291049199762893,0.5001656957477238,0.5821007895257032,0.1021883969697395,0.1021883969697395,0.0008405429134240072,108,1563,1,15
with_billing_zip,LogisticRegression_balanced_C0.1,original,0.13,0.12069937958262832,0.981651376146789,0.06430288461538461,0.07587433313574392,0.49747968046883173,0.5821007895257032,0.1021883969697395,0.1021883969697395,-0.010685916347695648,107,1557,2,21
with_billing_zip,LogisticRegression_balanced_C0.1,original,0.15,0.12131519274376418,0.981651376146789,0.06465256797583081,0.08120924718435092,0.5003313914954477,0.5821007895257032,0.1021883969697395,0.1021883969697395,0.0011944393836134685,107,1548,2,30
with_billing_zip,LogisticRegression_balanced_C0.1,original,0.17,0.1207977207977208,0.9724770642201835,0.06439854191980558,0.08535862477771192,0.4982790897780259,0.5821007895257032,0.1021883969697395,0.1021883969697395,-0.005494752237257996,106,1540,3,38
with_billing_zip,LogisticRegression_balanced_C0.1,original,0.19,0.12114285714285715,0.9724770642201835,0.06459475929311395,0.08832246591582692,0.4998633736817014,0.5821007895257032,0.1021883969697395,0.1021883969697395,-0.000412475258287698,106,1535,3,43
with_billing_zip,LogisticRegression_balanced_C0.1,original,0.21,0.12190914318573894,0.9724770642201835,0.06503067484662577,0.0948429164196799,0.5033487982697876,0.5821007895257032,0.1021883969697395,0.1021883969697395,0.009112855852515504,106,1524,3,54
with_billing_zip,LogisticRegression_balanced_C0.1,original,0.23,0.12138728323699421,0.963302752293578,0.0647748303516348,0.0989922940130409,0.5012964965523656,0.5821007895257032,0.1021883969697395,0.1021883969697395,0.0032877942766369205,105,1516,4,62
with_billing_zip,LogisticRegression_balanced_C0.1,original,0.25,0.12188044109112015,0.963302752293578,0.06505576208178439,0.10314167160640189,0.5035144940175115,0.5821007895257032,0.1021883969697395,0.1021883969697395,0.008492711225859213,105,1509,4,69
with_billing_zip,LogisticRegression_balanced_C0.1,original,0.27,0.1216374269005848,0.9541284403669725,0.06495940037476577,0.10966212211025489,0.50272961942303,0.5821007895257032,0.1021883969697395,0.1021883969697395,0.006101743571604396,104,1497,5,81
with_billing_zip,LogisticRegression_balanced_C0.1,original,0.29,0.12131919905771496,0.944954128440367,0.06482064191315293,0.11558980438648489,0.5016278880478134,0.5821007895257032,0.1021883969697395,0.1021883969697395,0.0034217343701009235,103,1486,6,92
with_billing_zip,LogisticRegression_balanced_C0.1,original,0.31,0.12261904761904761,0.944954128440367,0.06556333545512412,0.12625963248369887,0.5073313101010454,0.5821007895257032,0.1021883969697395,0.1021883969697395,0.014244960414035555,103,1468,6,110
with_billing_zip,LogisticRegression_balanced_C0.1,original,0.33,0.12447129909365559,0.944954128440367,0.0666235446313066,0.14107883817427386,0.515252729619423,0.5821007895257032,0.1021883969697395,0.1021883969697395,0.027097549273619383,103,1443,6,135
with_billing_zip,LogisticRegression_balanced_C0.1,original,0.35,0.12669126691266913,0.944954128440367,0.06789716545814106,0.15826911677534083,0.5244415762607412,0.5821007895257032,0.1021883969697395,0.1021883969697395,0.0399216702908873,103,1414,6,164
with_billing_zip,LogisticRegression_balanced_C0.1,original,0.37,0.12706480304955528,0.9174311926605505,0.06825938566552901,0.18553645524599882,0.5262060906268532,0.5821007895257032,0.1021883969697395,0.1021883969697395,0.03811568095724265,100,1365,9,213
with_billing_zip,LogisticRegression_balanced_C0.1,original,0.39,0.1246684350132626,0.8623853211009175,0.06719085060757685,0.2175459395376408,0.5176945616911431,0.5821007895257032,0.1021883969697395,0.1021883969697395,0.023122322392403066,94,1305,15,273
with_billing_zip,LogisticRegression_balanced_C0.1,original,0.41,0.12596221133659902,0.8256880733944955,0.06818181818181818,0.25963248369887376,0.5231101963930652,0.5821007895257032,0.1021883969697395,0.1021883969697395,0.027541042951149147,90,1230,19,348
with_billing_zip,LogisticRegression_balanced_C0.1,original,0.43,0.13053263315828958,0.7981651376146789,0.07107843137254902,0.3129816241849437,0.538816409111522,0.5821007895257032,0.1021883969697395,0.1021883969697395,0.04276917728549948,87,1137,22,441
with_billing_zip,LogisticRegression_balanced_C0.1,original,0.45,0.13628899835796388,0.7614678899082569,0.07484220018034266,0.3764078245406046,0.5556388879199079,0.5821007895257032,0.1021883969697395,0.1021883969697395,0.05764285630735496,83,1026,26,552
with_billing_zip,LogisticRegression_balanced_C0.1,original,0.47,0.13627992633517497,0.6788990825688074,0.07574206755373593,0.44398340248962653,0.5533278682806014,0.5821007895257032,0.1021883969697395,0.1021883969697395,0.05310978110655884,74,903,35,675
with_billing_zip,LogisticRegression_balanced_C0.1,original,0.49,0.14316239316239315,0.6146788990825688,0.08101571946795647,0.5245998814463545,0.5665282961826026,0.5821007895257032,0.1021883969697395,0.1021883969697395,0.06543365273334475,67,760,42,818
with_billing_zip,LogisticRegression_balanced_C0.1,original,0.51,0.14427860696517414,0.5321100917431193,0.08345323741007195,0.5921754593953764,0.564217276543296,0.5821007895257032,0.1021883969697395,0.1021883969697395,0.06415055069292994,58,637,51,941
with_billing_zip,LogisticRegression_balanced_C0.1,original,0.53,0.13580246913580246,0.4036697247706422,0.08163265306122448,0.6680497925311203,0.5449907559214429,0.5821007895257032,0.1021883969697395,0.1021883969697395,0.0474410953307854,44,495,65,1083
with_billing_zip,LogisticRegression_balanced_C0.1,original,0.55,0.13438735177865613,0.3119266055045872,0.08564231738035265,0.7403675163011263,0.5409442913454494,0.5821007895257032,0.1021883969697395,0.1021883969697395,0.04745696870539915,34,363,75,1215
with_billing_zip,LogisticRegression_balanced_C0.1,original,0.57,0.1330049261083744,0.24770642201834864,0.09090909090909091,0.7913455838767042,0.5383018802106952,0.5821007895257032,0.1021883969697395,0.1021883969697395,0.049446005515657684,27,270,82,1308
with_billing_zip,LogisticRegression_balanced_C0.1,original,0.59,0.14814814814814814,0.22018348623853212,0.11162790697674418,0.8363959691760522,0.5495720979988605,0.5821007895257032,0.1021883969697395,0.1021883969697395,0.07309049593758045,24,191,85,1387
with_billing_zip,LogisticRegression_balanced_C0.1,original,0.61,0.15384615384615385,0.1926605504587156,0.12804878048780488,0.8630705394190872,0.5510197555842374,0.5821007895257032,0.1021883969697395,0.1021883969697395,0.0846765669616848,21,143,88,1435
with_billing_zip,LogisticRegression_balanced_C1.0,original,0.05,0.12128017967434025,0.9908256880733946,0.0645933014354067,0.07231772377000593,0.4998488389669888,0.5816007953395891,0.10171446670912218,0.10171446670912218,-0.0007917222115955239,108,1564,1,14
with_billing_zip,LogisticRegression_balanced_C1.0,original,0.07,0.12141652613827993,0.9908256880733946,0.06467065868263473,0.07350326022525193,0.500482552528459,0.5816007953395891,0.10171446670912218,0.10171446670912218,0.0023755197384508478,108,1562,1,16
with_billing_zip,LogisticRegression_balanced_C1.0,original,0.09,0.12175873731679819,0.9908256880733946,0.06486486486486487,0.07646710136336693,0.5020668364321346,0.5816007953395891,0.10171446670912218,0.10171446670912218,0.008957450007297366,108,1557,1,21
with_billing_zip,LogisticRegression_balanced_C1.0,original,0.11,0.12097230073487847,0.981651376146789,0.06445783132530121,0.07824540604623592,0.4987471075917722,0.5816007953395891,0.10171446670912218,0.10171446670912218,-0.0049087916100835375,107,1553,2,25
with_billing_zip,LogisticRegression_balanced_C1.0,original,0.13,0.12166003411028994,0.981651376146789,0.06484848484848485,0.08417308832246592,0.5019156753991233,0.5816007953395891,0.10171446670912218,0.10171446670912218,0.0064309603513673895,107,1543,2,35
with_billing_zip,LogisticRegression_balanced_C1.0,original,0.15,0.12221587664191891,0.981651376146789,0.06516443361753958,0.08891523414344991,0.5044505296450041,0.5816007953395891,0.10171446670912218,0.10171446670912218,0.01358049528250163,107,1535,2,43
with_billing_zip,LogisticRegression_balanced_C1.0,original,0.17,0.12228571428571429,0.981651376146789,0.06520414381474711,0.08950800237107291,0.5047673864257393,0.5816007953395891,0.10171446670912218,0.10171446670912218,0.01439275369344308,107,1534,2,44
with_billing_zip,LogisticRegression_balanced_C1.0,original,0.19,0.12155963302752294,0.9724770642201835,0.06483180428134556,0.09187907528156491,0.501764514366112,0.5816007953395891,0.10171446670912218,0.10171446670912218,0.005019510792530504,106,1529,3,49
with_billing_zip,LogisticRegression_balanced_C1.0,original,0.21,0.12096774193548387,0.963302752293578,0.0645359557467732,0.0954356846473029,0.499395355867955,0.5816007953395891,0.10171446670912218,0.10171446670912218,-0.0016051927328503183,105,1522,4,56
with_billing_zip,LogisticRegression_balanced_C1.0,original,0.23,0.12152777777777778,0.963302752293578,0.06485484867201977,0.1001778304682869,0.5019302101138359,0.5816007953395891,0.10171446670912218,0.10171446670912218,0.004825290340677437,105,1514,4,64
with_billing_zip,LogisticRegression_balanced_C1.0,original,0.25,0.12259194395796848,0.963302752293578,0.06546134663341646,0.10906935388263189,0.5066830618248626,0.5816007953395891,0.10171446670912218,0.10171446670912218,0.01519256120749919,105,1499,4,79
with_billing_zip,LogisticRegression_balanced_C1.0,original,0.27,0.1214622641509434,0.944954128440367,0.06490233144297416,0.11677534084173088,0.5022616016092836,0.5816007953395891,0.10171446670912218,0.10171446670912218,0.004708953319087381,103,1484,6,94
with_billing_zip,LogisticRegression_balanced_C1.0,original,0.29,0.12247324613555291,0.944954128440367,0.06547997457088366,0.12507409602845287,0.5066975965395751,0.5816007953395891,0.10171446670912218,0.10171446670912218,0.01311894584691528,103,1470,6,108
with_billing_zip,LogisticRegression_balanced_C1.0,original,0.31,0.12372372372372373,0.944954128440367,0.06619537275064268,0.13515115589804386,0.512084161812072,0.5816007953395891,0.10171446670912218,0.10171446670912218,0.0222010150864453,103,1453,6,125
