variant,model,train_data,selected_threshold,validation_f1,validation_recall,validation_precision,validation_pr_auc,validation_mcc,test_oracle_threshold,test_oracle_f1,test_oracle_recall,test_oracle_precision,test_f1,test_recall,test_precision,test_accuracy,test_balanced_accuracy,test_roc_auc,test_pr_auc,test_average_precision,test_mcc,test_tp,test_fp,test_fn,test_tn,error
with_billing_zip,CatBoost_native_depth4_lr0.03,native_categorical,0.49,0.14153132250580047,0.5596330275229358,0.08100929614873838,0.08464972243835206,0.05988962521727453,0.53,0.13870967741935483,0.3944954128440367,0.08414872798434442,0.13333333333333333,0.5779816513761468,0.07535885167464115,0.5148104265402843,0.5442156515272121,0.5574135296407552,0.08034813194241297,0.08034813194241297,0.043469776008261615,63.0,773.0,46.0,806.0,
without_billing_zip,LogisticRegression_SMOTE_C1.0,resampled,0.37,0.15428571428571428,0.4954128440366973,0.09137055837563451,0.10008539566027697,0.07992888987092546,0.53,0.1708185053380783,0.22018348623853212,0.13953488372093023,0.13283208020050125,0.48623853211009177,0.07692307692307693,0.590047393364929,0.5417259791646089,0.5746524045528757,0.08790771336475592,0.08790771336475592,0.04173001025460626,53.0,636.0,56.0,943.0,
without_billing_zip,CatBoost_encoded_depth4_lr0.03,original,0.49,0.1426872770511296,0.5504587155963303,0.08196721311475409,0.0832570816989365,0.06180715108804047,0.49,0.13262032085561498,0.5688073394495413,0.07506053268765134,0.13262032085561498,0.5688073394495413,0.07506053268765134,0.5195497630331753,0.542478400567076,0.5365665181191208,0.07518695171904125,0.07518695171904125,0.04176945503001366,62.0,764.0,47.0,815.0,
with_billing_zip,BalancedBagging_tree_depth3_leaf10,original,0.51,0.15647921760391198,0.5871559633027523,0.09026798307475317,0.09586886625624197,0.08885771477220536,0.49,0.14418125643666324,0.6422018348623854,0.08120649651972157,0.1320973348783314,0.5229357798165137,0.07559681697612732,0.5562796208530806,0.5407585802185799,0.5609955203328085,0.08540496734843986,0.08540496734843986,0.040298997822599374,57.0,697.0,52.0,882.0,
with_billing_zip,CatBoost_native_depth3_lr0.03,native_categorical,0.55,0.16521739130434782,0.3486238532110092,0.10826210826210826,0.10379488408466303,0.09100947458598165,0.49,0.13678756476683937,0.6055045871559633,0.07710280373831775,0.13127413127413126,0.3119266055045872,0.08312958435207823,0.7334123222748815,0.5372172609536869,0.5476581973261442,0.07905916402047679,0.07905916402047679,0.04269546923880751,34.0,375.0,75.0,1204.0,
with_billing_zip,EasyEnsemble_n10,original,0.53,0.1697530864197531,0.5045871559633027,0.10204081632653061,0.09662381619578395,0.104323204657747,0.55,0.15498154981549817,0.3853211009174312,0.09699769053117784,0.13123359580052493,0.45871559633027525,0.07656967840735068,0.6078199052132701,0.5384141629529781,0.5625875161959433,0.08453463551610771,0.08453463551610771,0.03877027829693527,50.0,603.0,59.0,976.0,
with_billing_zip,CatBoost_encoded_depth3_lr0.03,original,0.49,0.1446051167964405,0.5963302752293578,0.08227848101265822,0.07756541892272598,0.06744071705211122,0.55,0.16768916155419222,0.3761467889908257,0.10789473684210527,0.13107822410147993,0.5688073394495413,0.07407407407407407,0.5130331753554502,0.5389951833409834,0.5656175375193917,0.08775649255524626,0.08775649255524626,0.038336968425708856,62.0,775.0,47.0,804.0,
without_billing_zip,BalancedBagging_tree_depthnone_leaf25,original,0.55,0.1568627450980392,0.3302752293577982,0.10285714285714286,0.09311750120834315,0.07959685874844509,0.53,0.14262023217247097,0.3944954128440367,0.08704453441295547,0.13008130081300814,0.29357798165137616,0.0835509138381201,0.7464454976303317,0.5356426957021923,0.5657686028202731,0.0834192311641623,0.0834192311641623,0.04183118906008662,32.0,351.0,77.0,1228.0,
without_billing_zip,BalancedBagging_tree_depth3_leaf25,original,0.51,0.1602787456445993,0.6330275229357798,0.09175531914893617,0.09736447997273447,0.09901901758694573,0.49,0.13786008230452676,0.6146788990825688,0.0776361529548088,0.12984054669703873,0.5229357798165137,0.0741222366710013,0.54739336492891,0.5360087385466357,0.5499561329607057,0.0795963462939962,0.0795963462939962,0.0355403165402629,57.0,712.0,52.0,867.0,
with_billing_zip,RUSBoost_n100_lr0.05,original,0.13,0.16489361702127658,0.28440366972477066,0.11610486891385768,0.07925657254660853,0.09082577274931365,0.13,0.12774869109947645,0.5596330275229358,0.07210401891252956,0.12774869109947645,0.5596330275229358,0.07210401891252956,0.5065165876777251,0.5312414662630511,0.5346230049212426,0.06992062583332509,0.06992062583332509,0.03071315919983632,61.0,785.0,48.0,794.0,
without_billing_zip,RUSBoost_n100_lr0.05,original,0.13,0.16489361702127658,0.28440366972477066,0.11610486891385768,0.07925657254660853,0.09082577274931365,0.13,0.12774869109947645,0.5596330275229358,0.07210401891252956,0.12774869109947645,0.5596330275229358,0.07210401891252956,0.5065165876777251,0.5312414662630511,0.5346230049212426,0.06992062583332509,0.06992062583332509,0.03071315919983632,61.0,785.0,48.0,794.0,
without_billing_zip,LogisticRegression_balanced_C0.1,original,0.47,0.1478743068391867,0.7339449541284404,0.08221993833504625,0.10208286864655666,0.0836123920896716,0.57,0.1506849315068493,0.30275229357798167,0.10030395136778116,0.1275831087151842,0.6513761467889908,0.07071713147410359,0.42476303317535546,0.5302479213995619,0.560521988716584,0.08123365640143952,0.08123365640143952,0.030285513258907517,71.0,933.0,38.0,646.0,
