experiment,variant,zip_mode,ka_mode,transform_mode,include_extended_interactions,feature_count,model,train_kind,evaluation,threshold,test_rows,test_positives,f1,recall,precision,accuracy,balanced_accuracy,roc_auc,pr_auc,mcc,tp,fp,fn,tn,validation_threshold,validation_f1,validation_recall,validation_precision,validation_accuracy,validation_balanced_accuracy,validation_roc_auc,validation_pr_auc,validation_mcc,validation_tp,validation_fp,validation_fn,validation_tn,threshold_selection_strategy,min_recall_constraint
paper_ablation_benchmark,extended_zip_top50_log_sqrt_ka_abstract,top_n,abstract,log_revenue_sqrt_subscribers,True,26,EasyEnsemble_original,original,validation_threshold,0.53,1688,109,0.1297016861219196,0.45871559633027525,0.0755287009063444,0.6024881516587678,0.5355642579498114,0.5685400700710588,0.10212633675601812,0.0358051408162574,50,612,59,967,0.53,0.17365269461077845,0.5321100917431193,0.1037567084078712,0.6727919383521044,0.6073097987232707,0.6206090626853176,0.10944132094018993,0.1120922716410171,58.0,501.0,51.0,1077.0,max_f1_with_min_recall_constraint,0.3
paper_ablation_benchmark,extended_zip_log_sqrt_interactions,encoded,label,log_revenue_sqrt_subscribers,True,25,EasyEnsemble_original,original,validation_threshold,0.52,1688,109,0.12925969447708577,0.5045871559633027,0.07412398921832884,0.5610189573459715,0.5347508294066039,0.5706433638756384,0.09029521170071292,0.034415331981916535,55,687,54,892,0.52,0.16597510373443983,0.5504587155963303,0.09771986970684039,0.6425607587433314,0.5996907012709154,0.6157719096289578,0.09975994292193935,0.10187493591590846,60.0,554.0,49.0,1024.0,max_f1_with_min_recall_constraint,0.3
paper_ablation_benchmark,extended_zip_top50_log_sqrt_interactions,top_n,label,log_revenue_sqrt_subscribers,True,25,EasyEnsemble_original,original,validation_threshold,0.53,1688,109,0.12903225806451613,0.45871559633027525,0.07507507507507508,0.6001184834123223,0.5342976335039596,0.568557500682699,0.10040798405693274,0.03449339187680119,50,616,59,963,0.53,0.17210682492581603,0.5321100917431193,0.10265486725663717,0.6692353289863663,0.60540865803886,0.6209317333519377,0.10931048525470641,0.10981265100660702,58.0,507.0,51.0,1071.0,max_f1_with_min_recall_constraint,0.3
paper_ablation_benchmark,paper_core_no_zip_log,drop,label,log_revenue,False,19,LogisticRegression_SMOTE,resampled,validation_threshold,0.33,1688,109,0.12861736334405144,0.5504587155963303,0.07281553398058252,0.5183649289099526,0.5333040886404704,0.5605917111631447,0.0774761992565077,0.032750006183519156,60,764,49,815,0.33,0.1524008350730689,0.6697247706422018,0.08598351001177856,0.5186721991701245,0.5889815234706572,0.5939378611876606,0.09146110214732747,0.08750255349234336,73.0,776.0,36.0,802.0,max_f1_with_min_recall_constraint,0.3
paper_ablation_benchmark,paper_core_no_zip_log,drop,label,log_revenue,False,19,EasyEnsemble_original,original,validation_threshold,0.53,1688,109,0.1262135922330097,0.47706422018348627,0.07272727272727272,0.5734597156398105,0.5285891081918065,0.5505894451836315,0.08441160997325346,0.028439730511335953,52,663,57,916,0.53,0.165625,0.48623853211009177,0.09981167608286252,0.6834617664493183,0.5916617248636644,0.6194259369077103,0.10149924936518032,0.09704174377318446,53.0,478.0,56.0,1100.0,max_f1_with_min_recall_constraint,0.3
paper_ablation_benchmark,extended_no_zip_log_sqrt_interactions,drop,label,log_revenue_sqrt_subscribers,True,24,EasyEnsemble_original,original,validation_threshold,0.53,1688,109,0.12596401028277635,0.44954128440366975,0.07324364723467862,0.5971563981042654,0.5284438530948051,0.5682931364061565,0.09180894510003253,0.028583972522134838,49,620,60,959,0.53,0.16666666666666666,0.5137614678899083,0.0994671403197158,0.6680497925311203,0.5962343461122546,0.6176963058569087,0.10435941843006716,0.10034355673181712,56.0,507.0,53.0,1071.0,max_f1_with_min_recall_constraint,0.3
paper_ablation_benchmark,extended_zip_log_sqrt_interactions,encoded,label,log_revenue_sqrt_subscribers,True,25,LogisticRegression_SMOTE,resampled,validation_threshold,0.42,1688,109,0.1256544502617801,0.3302752293577982,0.07758620689655173,0.7031990521327014,0.529608798972756,0.5550139154382927,0.0801192530198366,0.032599084361329335,36,428,73,1151,0.42,0.1497326203208556,0.3853211009174312,0.09292035398230089,0.7172495554238293,0.5627492703573214,0.5777432820548598,0.0895677344417851,0.06966308901335735,42.0,410.0,67.0,1168.0,max_f1_with_min_recall_constraint,0.3
paper_ablation_benchmark,paper_core_zip_top50_log,top_n,label,log_revenue,False,20,BalancedBagging_original,original,validation_threshold,0.54,1688,109,0.1252371916508539,0.30275229357798167,0.07894736842105263,0.7268957345971564,0.5294635438757546,0.5708728669289005,0.11580062870336146,0.03355284038567172,33,385,76,1194,0.54,0.14945054945054945,0.3119266055045872,0.09826589595375723,0.7705986959098993,0.55710398716294,0.5918128858966756,0.0843670240665331,0.06953616557098088,34.0,312.0,75.0,1266.0,max_f1_with_min_recall_constraint,0.3
paper_ablation_benchmark,extended_no_zip_log_sqrt_interactions,drop,label,log_revenue_sqrt_subscribers,True,24,LogisticRegression_SMOTE,resampled,validation_threshold,0.38,1688,109,0.1246376811594203,0.3944954128440367,0.07401032702237521,0.6421800947867299,0.5268867184549506,0.5562514888647443,0.07952593105263026,0.02781699628297156,43,538,66,1041,0.38,0.1497175141242938,0.48623853211009177,0.08848080133555926,0.6431535269709544,0.5701154637736771,0.5824903198800013,0.09389332666604289,0.0720414915987684,53.0,546.0,56.0,1032.0,max_f1_with_min_recall_constraint,0.3
paper_ablation_benchmark,paper_core_zip_top50_log,top_n,label,log_revenue,False,20,EasyEnsemble_original,original,validation_threshold,0.54,1688,109,0.12326656394453005,0.3669724770642202,0.07407407407407407,0.6629146919431279,0.5251581828006344,0.5524196594058486,0.08456075770898218,0.026512199195826234,40,500,69,1079,0.54,0.16173570019723865,0.3761467889908257,0.10301507537688442,0.7480735032602253,0.5749555237729794,0.6169521284636226,0.10407088352988941,0.08680253180817823,41.0,357.0,68.0,1221.0,max_f1_with_min_recall_constraint,0.3
