case_label,variant,model,scenario,fn_cost,fp_cost,retention_rate,threshold,expected_net_value,tp,fp,fn,tn,recall,precision,f1
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,optimistic_low_campaign_cost,5400.0,30.0,0.6,0.58,36270.0,12,87,97,1492,0.11009174311926606,0.12121212121212122,0.11538461538461539
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,optimistic_low_campaign_cost,5400.0,30.0,0.6,0.59,30090.0,10,77,99,1502,0.09174311926605505,0.11494252873563218,0.10204081632653061
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,optimistic_low_campaign_cost,5400.0,30.0,0.6,0.6,23790.0,8,71,101,1508,0.07339449541284404,0.10126582278481013,0.0851063829787234
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,optimistic_low_campaign_cost,5400.0,30.0,0.6,0.61,20790.0,7,63,102,1516,0.06422018348623854,0.1,0.0782122905027933
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,optimistic_low_campaign_cost,5400.0,30.0,0.6,0.62,17730.0,6,57,103,1522,0.05504587155963303,0.09523809523809523,0.06976744186046512
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,optimistic_low_campaign_cost,5400.0,30.0,0.6,0.63,17940.0,6,50,103,1529,0.05504587155963303,0.10714285714285714,0.07272727272727272
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,optimistic_low_campaign_cost,5400.0,30.0,0.6,0.64,11580.0,4,46,105,1533,0.03669724770642202,0.08,0.050314465408805034
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,optimistic_low_campaign_cost,5400.0,30.0,0.6,0.65,8490.0,3,41,106,1538,0.027522935779816515,0.06818181818181818,0.0392156862745098
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,optimistic_low_campaign_cost,5400.0,30.0,0.6,0.66,8580.0,3,38,106,1541,0.027522935779816515,0.07317073170731707,0.04
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,optimistic_low_campaign_cost,5400.0,30.0,0.6,0.67,8610.0,3,37,106,1542,0.027522935779816515,0.075,0.040268456375838924
