variant,model,train_kind,group_level,billing_zip_group,rows,positives,churn_rate,predicted_positives,predicted_positive_rate,tp,fp,fn,tn,f1,recall,precision,pr_auc,avg_score,overall_test_f1,overall_test_recall,f1_delta_vs_model_overall,recall_delta_vs_model_overall,support_flag
without_billing_zip,LogisticRegression_SMOTE,resampled,zip_value,4180,6,0,0.0,1,0.16666666666666666,0,1,0,5,0.0,,0.0,,0.3845694909152973,0.1676300578034682,0.26605504587155965,-0.1676300578034682,,no_positive
without_billing_zip,LogisticRegression_SMOTE,resampled,zip_value,4220,6,0,0.0,1,0.16666666666666666,0,1,0,5,0.0,,0.0,,0.2771557550274982,0.1676300578034682,0.26605504587155965,-0.1676300578034682,,no_positive
without_billing_zip,LogisticRegression_SMOTE,resampled,zip_value,4640,6,0,0.0,1,0.16666666666666666,0,1,0,5,0.0,,0.0,,0.3930589739670614,0.1676300578034682,0.26605504587155965,-0.1676300578034682,,no_positive
without_billing_zip,LogisticRegression_SMOTE,resampled,zip_value,6550,6,0,0.0,1,0.16666666666666666,0,1,0,5,0.0,,0.0,,0.39962806457344785,0.1676300578034682,0.26605504587155965,-0.1676300578034682,,no_positive
without_billing_zip,LogisticRegression_SMOTE,resampled,zip_value,6800,6,0,0.0,1,0.16666666666666666,0,1,0,5,0.0,,0.0,,0.3848716962374992,0.1676300578034682,0.26605504587155965,-0.1676300578034682,,no_positive
without_billing_zip,LogisticRegression_SMOTE,resampled,zip_value,4199,5,1,0.2,0,0.0,0,0,1,4,0.0,0.0,,0.2,0.40009988554616027,0.1676300578034682,0.26605504587155965,-0.1676300578034682,-0.26605504587155965,small_support
without_billing_zip,LogisticRegression_SMOTE,resampled,zip_value,4850,5,1,0.2,0,0.0,0,0,1,4,0.0,0.0,,0.3333333333333333,0.28925445356333934,0.1676300578034682,0.26605504587155965,-0.1676300578034682,-0.26605504587155965,small_support
without_billing_zip,LogisticRegression_SMOTE,resampled,zip_value,4101,5,0,0.0,1,0.2,0,1,0,4,0.0,,0.0,,0.3607074030770277,0.1676300578034682,0.26605504587155965,-0.1676300578034682,,no_positive
without_billing_zip,LogisticRegression_SMOTE,resampled,zip_value,4225,5,0,0.0,0,0.0,0,0,0,5,,,,,0.35655191859399793,0.1676300578034682,0.26605504587155965,,,no_positive
without_billing_zip,LogisticRegression_SMOTE,resampled,zip_value,4330,4,1,0.25,0,0.0,0,0,1,3,0.0,0.0,,0.5,0.1346694383329597,0.1676300578034682,0.26605504587155965,-0.1676300578034682,-0.26605504587155965,small_support
without_billing_zip,LogisticRegression_SMOTE,resampled,zip_value,6570,4,1,0.25,0,0.0,0,0,1,3,0.0,0.0,,0.25,0.3649445759896462,0.1676300578034682,0.26605504587155965,-0.1676300578034682,-0.26605504587155965,small_support
without_billing_zip,LogisticRegression_SMOTE,resampled,zip_value,4017,4,0,0.0,0,0.0,0,0,0,4,,,,,0.32826325534141215,0.1676300578034682,0.26605504587155965,,,no_positive
without_billing_zip,LogisticRegression_SMOTE,resampled,zip_value,4137,4,0,0.0,1,0.25,0,1,0,3,0.0,,0.0,,0.4480452228419012,0.1676300578034682,0.26605504587155965,-0.1676300578034682,,no_positive
without_billing_zip,LogisticRegression_SMOTE,resampled,zip_value,4147,4,0,0.0,1,0.25,0,1,0,3,0.0,,0.0,,0.35599971813736087,0.1676300578034682,0.26605504587155965,-0.1676300578034682,,no_positive
without_billing_zip,LogisticRegression_SMOTE,resampled,zip_value,4490,4,0,0.0,1,0.25,0,1,0,3,0.0,,0.0,,0.3574947185175112,0.1676300578034682,0.26605504587155965,-0.1676300578034682,,no_positive
without_billing_zip,LogisticRegression_SMOTE,resampled,zip_value,6200,4,0,0.0,0,0.0,0,0,0,4,,,,,0.3956528160323053,0.1676300578034682,0.26605504587155965,,,no_positive
