group_level,billing_zip_group,rows,train_rows,test_rows,churn_count,non_churn_count,churn_rate,churn_rate_percent,support_flag
zip_value,6190,3,2,1,0,3,0.0,0.0,no_positive
zip_value,6301,3,3,0,0,3,0.0,0.0,no_positive
zip_value,6363,3,3,0,0,3,0.0,0.0,no_positive
zip_value,6437,3,2,1,0,3,0.0,0.0,no_positive
zip_value,6563,3,3,0,0,3,0.0,0.0,no_positive
zip_value,6690,3,3,0,0,3,0.0,0.0,no_positive
zip_value,6701,3,2,1,0,3,0.0,0.0,no_positive
zip_value,6890,3,3,0,0,3,0.0,0.0,no_positive
zip_value,4251,2,2,0,1,1,0.5,50.0,small_support
zip_value,4363,2,2,0,1,1,0.5,50.0,small_support
zip_value,4632,2,1,1,1,1,0.5,50.0,small_support
zip_value,4944,2,2,0,1,1,0.5,50.0,small_support
zip_value,6053,2,2,0,1,1,0.5,50.0,small_support
zip_value,6097,2,1,1,1,1,0.5,50.0,small_support
zip_value,1142,2,2,0,0,2,0.0,0.0,no_positive
zip_value,1618,2,1,1,0,2,0.0,0.0,no_positive
zip_value,4009,2,1,1,0,2,0.0,0.0,no_positive
zip_value,4111,2,1,1,0,2,0.0,0.0,no_positive
zip_value,4114,2,2,0,0,2,0.0,0.0,no_positive
zip_value,4120,2,0,2,0,2,0.0,0.0,no_positive
zip_value,4127,2,1,1,0,2,0.0,0.0,no_positive
zip_value,4131,2,1,1,0,2,0.0,0.0,no_positive
zip_value,4151,2,1,1,0,2,0.0,0.0,no_positive
zip_value,4170,2,2,0,0,2,0.0,0.0,no_positive
zip_value,4178,2,2,0,0,2,0.0,0.0,no_positive
zip_value,4198,2,1,1,0,2,0.0,0.0,no_positive
zip_value,4200,2,2,0,0,2,0.0,0.0,no_positive
zip_value,4203,2,1,1,0,2,0.0,0.0,no_positive
zip_value,4205,2,2,0,0,2,0.0,0.0,no_positive
zip_value,4221,2,2,0,0,2,0.0,0.0,no_positive
zip_value,4252,2,2,0,0,2,0.0,0.0,no_positive
zip_value,4262,2,2,0,0,2,0.0,0.0,no_positive
zip_value,4290,2,1,1,0,2,0.0,0.0,no_positive
zip_value,4337,2,1,1,0,2,0.0,0.0,no_positive
zip_value,4405,2,1,1,0,2,0.0,0.0,no_positive
zip_value,4419,2,2,0,0,2,0.0,0.0,no_positive
zip_value,4450,2,2,0,0,2,0.0,0.0,no_positive
zip_value,4465,2,2,0,0,2,0.0,0.0,no_positive
zip_value,4474,2,1,1,0,2,0.0,0.0,no_positive
zip_value,4480,2,1,1,0,2,0.0,0.0,no_positive
zip_value,4484,2,2,0,0,2,0.0,0.0,no_positive
zip_value,4523,2,2,0,0,2,0.0,0.0,no_positive
zip_value,4538,2,2,0,0,2,0.0,0.0,no_positive
zip_value,4582,2,2,0,0,2,0.0,0.0,no_positive
zip_value,4855,2,2,0,0,2,0.0,0.0,no_positive
zip_value,4950,2,2,0,0,2,0.0,0.0,no_positive
zip_value,4997,2,2,0,0,2,0.0,0.0,no_positive
zip_value,4998,2,2,0,0,2,0.0,0.0,no_positive
zip_value,6008,2,2,0,0,2,0.0,0.0,no_positive
zip_value,6058,2,0,2,0,2,0.0,0.0,no_positive
zip_value,6063,2,2,0,0,2,0.0,0.0,no_positive
zip_value,6070,2,2,0,0,2,0.0,0.0,no_positive
zip_value,6137,2,2,0,0,2,0.0,0.0,no_positive
zip_value,6139,2,2,0,0,2,0.0,0.0,no_positive
zip_value,6151,2,2,0,0,2,0.0,0.0,no_positive
zip_value,6162,2,2,0,0,2,0.0,0.0,no_positive
zip_value,6165,2,2,0,0,2,0.0,0.0,no_positive
zip_value,6167,2,1,1,0,2,0.0,0.0,no_positive
zip_value,6175,2,1,1,0,2,0.0,0.0,no_positive
zip_value,6220,2,2,0,0,2,0.0,0.0,no_positive
zip_value,6230,2,2,0,0,2,0.0,0.0,no_positive
zip_value,6290,2,2,0,0,2,0.0,0.0,no_positive
zip_value,6368,2,2,0,0,2,0.0,0.0,no_positive
zip_value,6404,2,2,0,0,2,0.0,0.0,no_positive
zip_value,6420,2,0,2,0,2,0.0,0.0,no_positive
zip_value,6558,2,0,2,0,2,0.0,0.0,no_positive
zip_value,6647,2,2,0,0,2,0.0,0.0,no_positive
zip_value,6649,2,1,1,0,2,0.0,0.0,no_positive
zip_value,6771,2,2,0,0,2,0.0,0.0,no_positive
zip_value,6898,2,2,0,0,2,0.0,0.0,no_positive
zip_value,9300,2,2,0,0,2,0.0,0.0,no_positive
zip_value,missing,2,2,0,0,2,0.0,0.0,no_positive
zip_value,1619,1,1,0,1,0,1.0,100.0,small_support
zip_value,1784,1,0,1,1,0,1.0,100.0,small_support
zip_value,4417,1,1,0,1,0,1.0,100.0,small_support
zip_value,4618,1,1,0,1,0,1.0,100.0,small_support
zip_value,4630,1,1,0,1,0,1.0,100.0,small_support
zip_value,4638,1,0,1,1,0,1.0,100.0,small_support
zip_value,5800,1,1,0,1,0,1.0,100.0,small_support
zip_value,6170,1,1,0,1,0,1.0,100.0,small_support
zip_value,6264,1,1,0,1,0,1.0,100.0,small_support
zip_value,6353,1,1,0,1,0,1.0,100.0,small_support
zip_value,6670,1,0,1,1,0,1.0,100.0,small_support
