variant,model,scenario,fn_cost,fp_cost,tp_benefit,retention_rate,cost_ratio,theoretical_threshold,threshold,expected_net_value,tp,fp,fn,tn,recall,precision,f1
with_billing_zip,BalancedBagging_original,paper_baseline,5400.0,120.0,3240.0,0.6,45.0,0.03571428571428571,0.19,163680.0,109,1579,0,0,1.0,0.06457345971563981,0.1213132999443517
with_billing_zip,BalancedBagging_original,paper_baseline,5400.0,120.0,3240.0,0.6,45.0,0.03571428571428571,0.2,163680.0,109,1579,0,0,1.0,0.06457345971563981,0.1213132999443517
with_billing_zip,BalancedBagging_original,paper_baseline,5400.0,120.0,3240.0,0.6,45.0,0.03571428571428571,0.21,163680.0,109,1579,0,0,1.0,0.06457345971563981,0.1213132999443517
with_billing_zip,BalancedBagging_original,paper_baseline,5400.0,120.0,3240.0,0.6,45.0,0.03571428571428571,0.22,163680.0,109,1579,0,0,1.0,0.06457345971563981,0.1213132999443517
with_billing_zip,BalancedBagging_original,paper_baseline,5400.0,120.0,3240.0,0.6,45.0,0.03571428571428571,0.23,163680.0,109,1579,0,0,1.0,0.06457345971563981,0.1213132999443517
with_billing_zip,BalancedBagging_original,paper_baseline,5400.0,120.0,3240.0,0.6,45.0,0.03571428571428571,0.24,163800.0,109,1578,0,1,1.0,0.06461173681090694,0.12138084632516703
with_billing_zip,BalancedBagging_original,paper_baseline,5400.0,120.0,3240.0,0.6,45.0,0.03571428571428571,0.25,164040.0,109,1576,0,3,1.0,0.06468842729970327,0.12151616499442586
with_billing_zip,BalancedBagging_original,paper_baseline,5400.0,120.0,3240.0,0.6,45.0,0.03571428571428571,0.26,164280.0,109,1574,0,5,1.0,0.0647653000594177,0.12165178571428571
with_billing_zip,BalancedBagging_original,paper_baseline,5400.0,120.0,3240.0,0.6,45.0,0.03571428571428571,0.27,164640.0,109,1571,0,8,1.0,0.06488095238095239,0.1218557853549469
with_billing_zip,BalancedBagging_original,paper_baseline,5400.0,120.0,3240.0,0.6,45.0,0.03571428571428571,0.28,165000.0,109,1568,0,11,1.0,0.06499701848539058,0.12206047032474804
with_billing_zip,BalancedBagging_original,paper_baseline,5400.0,120.0,3240.0,0.6,45.0,0.03571428571428571,0.29,165840.0,109,1561,0,18,1.0,0.06526946107784432,0.1225407532321529
with_billing_zip,BalancedBagging_original,paper_baseline,5400.0,120.0,3240.0,0.6,45.0,0.03571428571428571,0.3,133320.0,105,1544,4,35,0.963302752293578,0.06367495451788963,0.11945392491467577
with_billing_zip,BalancedBagging_original,paper_baseline,5400.0,120.0,3240.0,0.6,45.0,0.03571428571428571,0.31,135480.0,105,1526,4,53,0.963302752293578,0.06437768240343347,0.1206896551724138
with_billing_zip,BalancedBagging_original,paper_baseline,5400.0,120.0,3240.0,0.6,45.0,0.03571428571428571,0.32,138480.0,105,1501,4,78,0.963302752293578,0.06537982565379825,0.12244897959183673
with_billing_zip,BalancedBagging_original,paper_baseline,5400.0,120.0,3240.0,0.6,45.0,0.03571428571428571,0.33,125760.0,103,1463,6,116,0.944954128440367,0.06577266922094509,0.12298507462686567
with_billing_zip,BalancedBagging_original,paper_baseline,5400.0,120.0,3240.0,0.6,45.0,0.03571428571428571,0.34,96840.0,99,1416,10,163,0.908256880733945,0.06534653465346535,0.12192118226600986
with_billing_zip,BalancedBagging_original,paper_baseline,5400.0,120.0,3240.0,0.6,45.0,0.03571428571428571,0.35,76920.0,96,1366,13,213,0.8807339449541285,0.06566347469220246,0.12221514958625079
