variant,model,train_data,threshold,f1,recall,precision,accuracy,balanced_accuracy,roc_auc,pr_auc,average_precision,mcc,tp,fp,fn,tn
with_billing_zip,EasyEnsemble_original,original,0.14,0.12138084632516703,1.0,0.06461173681090694,0.06461173681090694,0.5,0.6181992069859652,0.09664064499929578,0.09664064499929578,0.0,109,1578,0,0
with_billing_zip,EasyEnsemble_original,original,0.15,0.12138084632516703,1.0,0.06461173681090694,0.06461173681090694,0.5,0.6181992069859652,0.09664064499929578,0.09664064499929578,0.0,109,1578,0,0
with_billing_zip,EasyEnsemble_original,original,0.16,0.12138084632516703,1.0,0.06461173681090694,0.06461173681090694,0.5,0.6181992069859652,0.09664064499929578,0.09664064499929578,0.0,109,1578,0,0
with_billing_zip,EasyEnsemble_original,original,0.17,0.12138084632516703,1.0,0.06461173681090694,0.06461173681090694,0.5,0.6181992069859652,0.09664064499929578,0.09664064499929578,0.0,109,1578,0,0
with_billing_zip,EasyEnsemble_original,original,0.18,0.12138084632516703,1.0,0.06461173681090694,0.06461173681090694,0.5,0.6181992069859652,0.09664064499929578,0.09664064499929578,0.0,109,1578,0,0
with_billing_zip,EasyEnsemble_original,original,0.19,0.12138084632516703,1.0,0.06461173681090694,0.06461173681090694,0.5,0.6181992069859652,0.09664064499929578,0.09664064499929578,0.0,109,1578,0,0
with_billing_zip,EasyEnsemble_original,original,0.2,0.12138084632516703,1.0,0.06461173681090694,0.06461173681090694,0.5,0.6181992069859652,0.09664064499929578,0.09664064499929578,0.0,109,1578,0,0
with_billing_zip,EasyEnsemble_original,original,0.21,0.12138084632516703,1.0,0.06461173681090694,0.06461173681090694,0.5,0.6181992069859652,0.09664064499929578,0.09664064499929578,0.0,109,1578,0,0
with_billing_zip,EasyEnsemble_original,original,0.22,0.12138084632516703,1.0,0.06461173681090694,0.06461173681090694,0.5,0.6181992069859652,0.09664064499929578,0.09664064499929578,0.0,109,1578,0,0
with_billing_zip,EasyEnsemble_original,original,0.23,0.12138084632516703,1.0,0.06461173681090694,0.06461173681090694,0.5,0.6181992069859652,0.09664064499929578,0.09664064499929578,0.0,109,1578,0,0
with_billing_zip,EasyEnsemble_original,original,0.24,0.12138084632516703,1.0,0.06461173681090694,0.06461173681090694,0.5,0.6181992069859652,0.09664064499929578,0.09664064499929578,0.0,109,1578,0,0
with_billing_zip,EasyEnsemble_original,original,0.25,0.12138084632516703,1.0,0.06461173681090694,0.06461173681090694,0.5,0.6181992069859652,0.09664064499929578,0.09664064499929578,0.0,109,1578,0,0
with_billing_zip,EasyEnsemble_original,original,0.26,0.12138084632516703,1.0,0.06461173681090694,0.06461173681090694,0.5,0.6181992069859652,0.09664064499929578,0.09664064499929578,0.0,109,1578,0,0
with_billing_zip,EasyEnsemble_original,original,0.27,0.12138084632516703,1.0,0.06461173681090694,0.06461173681090694,0.5,0.6181992069859652,0.09664064499929578,0.09664064499929578,0.0,109,1578,0,0
with_billing_zip,EasyEnsemble_original,original,0.28,0.12138084632516703,1.0,0.06461173681090694,0.06461173681090694,0.5,0.6181992069859652,0.09664064499929578,0.09664064499929578,0.0,109,1578,0,0
with_billing_zip,EasyEnsemble_original,original,0.29,0.12138084632516703,1.0,0.06461173681090694,0.06461173681090694,0.5,0.6181992069859652,0.09664064499929578,0.09664064499929578,0.0,109,1578,0,0
with_billing_zip,EasyEnsemble_original,original,0.3,0.12138084632516703,1.0,0.06461173681090694,0.06461173681090694,0.5,0.6181992069859652,0.09664064499929578,0.09664064499929578,0.0,109,1578,0,0
with_billing_zip,EasyEnsemble_original,original,0.31,0.12138084632516703,1.0,0.06461173681090694,0.06461173681090694,0.5,0.6181992069859652,0.09664064499929578,0.09664064499929578,0.0,109,1578,0,0
with_billing_zip,EasyEnsemble_original,original,0.41,0.12110726643598616,0.963302752293578,0.06461538461538462,0.09662122110254891,0.5000290694294253,0.6181992069859652,0.09664064499929578,0.09664064499929578,7.596450709059116e-05,105,1520,4,58
with_billing_zip,EasyEnsemble_original,original,0.42,0.12038140643623362,0.926605504587156,0.06437221159974506,0.12507409602845287,0.4981569981744398,0.6181992069859652,0.09664064499929578,0.09664064499929578,-0.0035527940597474437,101,1468,8,110
with_billing_zip,LogisticRegression_SMOTE,resampled,0.46,0.16279069767441862,0.3211009174311927,0.10903426791277258,0.7866034380557202,0.5699294194253556,0.5801589516400971,0.0971809353288236,0.0971809353288236,0.08759489589470597,35,286,74,1292
with_billing_zip,LogisticRegression_SMOTE,resampled,0.47,0.16216216216216217,0.30275229357798167,0.11073825503355705,0.7978660343805573,0.5674090998941873,0.5801589516400971,0.0971809353288236,0.0971809353288236,0.08690725189448215,33,265,76,1313
with_billing_zip,LogisticRegression_SMOTE,resampled,0.48,0.15544041450777202,0.27522935779816515,0.10830324909747292,0.8067575577949022,0.559351054057511,0.5801589516400971,0.0971809353288236,0.0971809353288236,0.07877270144817904,30,247,79,1331
with_billing_zip,LogisticRegression_SMOTE,resampled,0.45,0.15384615384615385,0.3211009174311927,0.10115606936416185,0.7717842323651453,0.5620079999069778,0.5801589516400971,0.0971809353288236,0.0971809353288236,0.0755078368863059,35,311,74,1267
with_billing_zip,LogisticRegression_SMOTE,resampled,0.44,0.15195071868583163,0.3394495412844037,0.09788359788359788,0.7551867219917012,0.5616766084115301,0.5801589516400971,0.0971809353288236,0.0971809353288236,0.07272797655929454,37,341,72,1237
with_billing_zip,LogisticRegression_SMOTE,resampled,0.5,0.15160349854227406,0.23853211009174313,0.1111111111111111,0.8275044457617071,0.5533598446529692,0.5801589516400971,0.0971809353288236,0.0971809353288236,0.07590503148773149,26,208,83,1370
with_billing_zip,LogisticRegression_SMOTE,resampled,0.49,0.14835164835164835,0.24770642201834864,0.10588235294117647,0.8162418494368702,0.5516098650015697,0.5801589516400971,0.0971809353288236,0.0971809353288236,0.07084151950162333,27,228,82,1350
with_billing_zip,LogisticRegression_SMOTE,resampled,0.43,0.14587332053742802,0.3486238532110092,0.09223300970873786,0.7362181387077653,0.5558074906105743,0.5801589516400971,0.0971809353288236,0.0971809353288236,0.06386832675844344,38,374,71,1204
