variant,family,model_name,train_kind,threshold,f1,f2,recall,precision,accuracy,balanced_accuracy,roc_auc,pr_auc,mcc,tp,fp,fn,tn,predicted_positive_rate
with_billing_zip,LogisticRegression,LogisticRegression_original_balanced_C0.03,original,0.36,0.12676923076923077,0.26383196721311475,0.944954128440367,0.0679419525065963,0.15886188500296383,0.5247584330414763,0.5841240218136998,0.10114705953618708,0.04033408813938891,103,1413,6,165,0.8986366330764671
with_billing_zip,LogisticRegression,LogisticRegression_original_balanced_C0.03,original,0.37,0.12718204488778054,0.2641118591403418,0.9357798165137615,0.06822742474916388,0.17012448132780084,0.5265084126928757,0.5841240218136998,0.10114705953618708,0.04104017997349743,102,1393,7,185,0.8861885002963841
with_billing_zip,LogisticRegression,LogisticRegression_original_balanced_C0.03,original,0.38,0.12698412698412698,0.2628811777076761,0.9174311926605505,0.06821282401091405,0.18494368701837582,0.5258892338461181,0.5841240218136998,0.10114705953618708,0.037727047633143974,100,1366,9,212,0.8689982216953172
with_billing_zip,LogisticRegression,LogisticRegression_original_balanced_C0.03,original,0.39,0.12827225130890052,0.2641509433962264,0.8990825688073395,0.06906272022551092,0.2104327208061648,0.5309734770525925,0.5841240218136998,0.10114705953618708,0.04166084849907287,98,1321,11,257,0.8411381149970362
with_billing_zip,LogisticRegression,LogisticRegression_original_balanced_C0.03,original,0.4,0.12666666666666668,0.25998905309250137,0.8715596330275229,0.0682961897915169,0.2234736218138708,0.5251334286810618,0.5841240218136998,0.10114705953618708,0.0324892033415642,95,1296,14,282,0.8245406046235921
with_billing_zip,LogisticRegression,LogisticRegression_original_balanced_C0.03,original,0.41,0.12611377655928718,0.25755879059350506,0.8440366972477065,0.06814814814814815,0.24422050978067575,0.5234125184590877,0.5841240218136998,0.10114705953618708,0.028791417166762853,92,1258,17,320,0.8002371072910492
with_billing_zip,LogisticRegression,LogisticRegression_original_balanced_C0.03,original,0.42,0.12526690391459075,0.2540415704387991,0.8073394495412844,0.06790123456790123,0.2714878482513337,0.5209067336426321,0.5841240218136998,0.10114705953618708,0.02436082830342608,88,1208,21,370,0.7682276229994073
with_billing_zip,LogisticRegression,LogisticRegression_original_balanced_C0.03,original,0.43,0.12812960235640647,0.258160237388724,0.7981651376146789,0.06965572457966374,0.2981624184943687,0.5308949895931443,0.5841240218136998,0.10114705953618708,0.03464707074897902,87,1162,22,416,0.7403675163011263
with_billing_zip,LogisticRegression,LogisticRegression_original_balanced_C0.03,original,0.44,0.13046815042210283,0.2607361963190184,0.7798165137614679,0.0711892797319933,0.32839359810314167,0.5385140870454994,0.5841240218136998,0.10114705953618708,0.04163808320036767,85,1109,24,469,0.7077652637818613
with_billing_zip,LogisticRegression,LogisticRegression_original_balanced_C0.03,original,0.45,0.13441295546558704,0.26568501920614596,0.7614678899082569,0.07371225577264653,0.3663307646710136,0.5502523226474111,0.5841240218136998,0.10114705953618708,0.05244477876452291,83,1043,26,535,0.6674570243034973
with_billing_zip,LogisticRegression,LogisticRegression_original_balanced_C0.03,original,0.46,0.13686911890504705,0.26737967914438504,0.7339449541284404,0.07547169811320754,0.4018968583283936,0.5564528319438147,0.5841240218136998,0.10114705953618708,0.057437532453606686,80,980,29,598,0.6283343212803794
with_billing_zip,LogisticRegression,LogisticRegression_original_balanced_C0.03,original,0.47,0.13932172318973418,0.2679830747531735,0.6972477064220184,0.07739307535641547,0.44339063426200354,0.5615516098650015,0.5841240218136998,0.10114705953618708,0.06136007163327739,76,906,33,672,0.5820983995257855
with_billing_zip,LogisticRegression,LogisticRegression_original_balanced_C0.03,original,0.48,0.1411764705882353,0.267260579064588,0.6605504587155964,0.07903402854006586,0.48073503260225253,0.5644323903210429,0.5841240218136998,0.10114705953618708,0.06356395889138394,72,839,37,739,0.5400118553645524
with_billing_zip,LogisticRegression,LogisticRegression_original_balanced_C0.03,original,0.49,0.13874066168623267,0.25712025316455694,0.5963302752293578,0.0785024154589372,0.5216360403082395,0.5564034139137917,0.5841240218136998,0.10114705953618708,0.055474115315747946,65,763,44,815,0.4908120924718435
with_billing_zip,LogisticRegression,LogisticRegression_original_balanced_C0.03,original,0.5,0.14918414918414918,0.270042194092827,0.5871559633027523,0.08544726301735647,0.5672791938352104,0.5765310868478274,0.5841240218136998,0.10114705953618708,0.07573424442972403,64,685,45,893,0.44398340248962653
