column_ko,column_description,group,rows,yes_count,no_count,yes_rate,no_rate,yes_rate_percent,no_rate_percent,path
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,6140,6,1,5,0.16666666666666666,0.8333333333333334,16.666666666666664,83.33333333333334,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_6140_churn.csv
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,4107,7,1,6,0.14285714285714285,0.8571428571428571,14.285714285714285,85.71428571428571,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4107_churn.csv
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,4137,7,1,6,0.14285714285714285,0.8571428571428571,14.285714285714285,85.71428571428571,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4137_churn.csv
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,6490,7,1,6,0.14285714285714285,0.8571428571428571,14.285714285714285,85.71428571428571,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_6490_churn.csv
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,6750,7,1,6,0.14285714285714285,0.8571428571428571,14.285714285714285,85.71428571428571,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_6750_churn.csv
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,4210,47,6,41,0.1276595744680851,0.8723404255319149,12.76595744680851,87.2340425531915,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4210_churn.csv
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,4001,40,5,35,0.125,0.875,12.5,87.5,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4001_churn.csv
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,4850,40,5,35,0.125,0.875,12.5,87.5,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4850_churn.csv
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,4204,8,1,7,0.125,0.875,12.5,87.5,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4204_churn.csv
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,4530,8,1,7,0.125,0.875,12.5,87.5,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4530_churn.csv
